,cross_validated_window_length
sub-A00023510,99.0
sub-A00027544,77.0
sub-A00028177,51.0
sub-A00028185,97.0
sub-A00028207,99.0
sub-A00028287,103.0
sub-A00028352,61.0
sub-A00028429,99.0
sub-A00028606,101.0
sub-A00028656,93.0
sub-A00028694,101.0
sub-A00028766,57.0
sub-A00028844,99.0
sub-A00029076,81.0
sub-A00029092,75.0
sub-A00029126,59.0
sub-A00029127,79.0
sub-A00029231,43.0
sub-A00029303,87.0
sub-A00029304,97.0
sub-A00029979,69.0
sub-A00030913,53.0
sub-A00030989,87.0
sub-A00031216,109.0
sub-A00031217,69.0
sub-A00031272,119.0
sub-A00031459,105.0
sub-A00031549,81.0
sub-A00031625,73.0
sub-A00031871,69.0
sub-A00032007,95.0
sub-A00033180,83.0
sub-A00033231,77.0
sub-A00033232,51.0
sub-A00033247,63.0
sub-A00033248,97.0
sub-A00033640,113.0
sub-A00033643,119.0
sub-A00033747,103.0
sub-A00034193,107.0
sub-A00034385,75.0
sub-A00034854,69.0
sub-A00035036,93.0
sub-A00035363,79.0
sub-A00035553,117.0
sub-A00035608,77.0
sub-A00035840,87.0
sub-A00035879,75.0
sub-A00035881,75.0
sub-A00035926,85.0
sub-A00035943,79.0
sub-A00035960,101.0
sub-A00037081,49.0
sub-A00037112,79.0
sub-A00037117,57.0
sub-A00037118,97.0
sub-A00037122,99.0
sub-A00037123,87.0
sub-A00037160,87.0
sub-A00037170,59.0
sub-A00037198,97.0
sub-A00037266,69.0
sub-A00037378,85.0
sub-A00037387,93.0
sub-A00037396,119.0
sub-A00037445,57.0
sub-A00037476,63.0
sub-A00037511,85.0
sub-A00037531,53.0
sub-A00037647,83.0
sub-A00037725,77.0
sub-A00037877,53.0
sub-A00038158,87.0
sub-A00038159,81.0
sub-A00038189,93.0
sub-A00038285,83.0
sub-A00038522,61.0
sub-A00038605,103.0
sub-A00038616,87.0
sub-A00038642,91.0
sub-A00038718,63.0
sub-A00038731,73.0
sub-A00038831,93.0
sub-A00038832,87.0
sub-A00038998,45.0
sub-A00039084,75.0
sub-A00039143,93.0
sub-A00039159,111.0
sub-A00039218,97.0
sub-A00039431,107.0
sub-A00039463,67.0
sub-A00039488,105.0
sub-A00039636,101.0
sub-A00039686,69.0
sub-A00039755,61.0
sub-A00039819,77.0
sub-A00040151,97.0
sub-A00040193,79.0
sub-A00040226,77.0
sub-A00040301,119.0
sub-A00040524,57.0
sub-A00040543,59.0
sub-A00040573,117.0
sub-A00040623,85.0
sub-A00040628,65.0
sub-A00040640,57.0
sub-A00040740,63.0
sub-A00040827,87.0
sub-A00040890,55.0
sub-A00040915,67.0
sub-A00040944,71.0
sub-A00043299,89.0
sub-A00043384,105.0
sub-A00043462,119.0
sub-A00043466,119.0
sub-A00043509,119.0
sub-A00043520,111.0
sub-A00043649,95.0
sub-A00043677,87.0
sub-A00043704,103.0
sub-A00043722,51.0
sub-A00043998,85.0
sub-A00044012,77.0
sub-A00044130,79.0
sub-A00044131,77.0
sub-A00044291,73.0
sub-A00044307,77.0
sub-A00045590,85.0
sub-A00050795,83.0
sub-A00050940,73.0
sub-A00051063,45.0
sub-A00051064,89.0
sub-A00051477,81.0
sub-A00051514,117.0
sub-A00051539,65.0
sub-A00051603,79.0
sub-A00051638,63.0
sub-A00051658,73.0
sub-A00051679,115.0
sub-A00051726,77.0
sub-A00051774,79.0
sub-A00052125,117.0
sub-A00052126,99.0
sub-A00052197,63.0
sub-A00052235,59.0
sub-A00052307,119.0
sub-A00052340,49.0
sub-A00052500,59.0
sub-A00052502,71.0
sub-A00053473,49.0
sub-A00053474,75.0
sub-A00053475,79.0
sub-A00053546,105.0
sub-A00053576,109.0
sub-A00053577,43.0
sub-A00053578,87.0
sub-A00053850,73.0
sub-A00053851,51.0
sub-A00053854,65.0
sub-A00054019,91.0
sub-A00054173,65.0
sub-A00054441,101.0
sub-A00054504,73.0
sub-A00054532,119.0
sub-A00054533,117.0
sub-A00054534,75.0
sub-A00055121,87.0
sub-A00055215,119.0
sub-A00055373,87.0
sub-A00055446,101.0
sub-A00055542,43.0
sub-A00055738,101.0
sub-A00055806,85.0
sub-A00056097,63.0
sub-A00056098,71.0
sub-A00056627,103.0
sub-A00056898,53.0
sub-A00056919,55.0
sub-A00056949,71.0
sub-A00057005,69.0
sub-A00057035,59.0
sub-A00057182,85.0
sub-A00057183,75.0
sub-A00057203,73.0
sub-A00057235,87.0
sub-A00057372,77.0
sub-A00057406,117.0
sub-A00057444,65.0
sub-A00057786,63.0
sub-A00057808,59.0
sub-A00058214,77.0
sub-A00058515,83.0
sub-A00058621,71.0
sub-A00058667,91.0
sub-A00058999,71.0
sub-A00059074,95.0
sub-A00059428,69.0
sub-A00059527,81.0
sub-A00059756,85.0
sub-A00059911,65.0
sub-A00059990,71.0
sub-A00060006,91.0
sub-A00060093,109.0
sub-A00060169,83.0
sub-A00060259,95.0
sub-A00060279,117.0
sub-A00060302,119.0
sub-A00060372,69.0
sub-A00060471,73.0
sub-A00060480,117.0
sub-A00060516,105.0
sub-A00060576,67.0
sub-A00060581,61.0
sub-A00060582,91.0
sub-A00060628,61.0
sub-A00060629,69.0
sub-A00060630,109.0
sub-A00060632,61.0
sub-A00060662,73.0
sub-A00060773,83.0
sub-A00060848,67.0
sub-A00060925,85.0
sub-A00061284,91.0
sub-A00061387,53.0
sub-A00061598,73.0
sub-A00061727,53.0
sub-A00061881,103.0
sub-A00061882,71.0
sub-A00062248,69.0
sub-A00062288,113.0
sub-A00062351,77.0
sub-A00062411,49.0
sub-A00062917,85.0
sub-A00062934,81.0
sub-A00063103,75.0
sub-A00063326,57.0
sub-A00063368,69.0
sub-A00063450,87.0
sub-A00063589,79.0
sub-A00064580,119.0
sub-A00065197,91.0
sub-A00065574,83.0
sub-A00065617,107.0
sub-A00065790,93.0
sub-A00066087,95.0
sub-A00066091,69.0
sub-A00066153,117.0
sub-A00066232,81.0
sub-A00066236,45.0
sub-A00066246,79.0
sub-A00066319,83.0
sub-A00066735,95.0
sub-A00066781,77.0
sub-A00066812,101.0
sub-A00066822,105.0
sub-A00066827,65.0
sub-A00066926,59.0
sub-A00072203,99.0
sub-A00073600,113.0
sub-A00073975,55.0
sub-A00074000,55.0
sub-A00074425,77.0
sub-A00074609,55.0
sub-A00074780,57.0
sub-A00075156,113.0
sub-A00075412,117.0
sub-A00075721,73.0
sub-A00075896,69.0
sub-A00075964,77.0
sub-A00077109,119.0
sub-A00077182,49.0
sub-A00077204,53.0
sub-A00077637,73.0
sub-A00077733,51.0
sub-A00077734,87.0
sub-A00077758,73.0
sub-A00078238,103.0
sub-A00079353,79.0
sub-A00079747,101.0
sub-A00079907,67.0
sub-A00080447,59.0
sub-A00080452,99.0
sub-A00080453,119.0
sub-A00081112,77.0
sub-A00081938,41.0
sub-A00082554,55.0
